Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,1660.22,140,11.859,5.19,77.9,83.377
host,acl,ArgMaxV2_Tiling,7.62,1,7.62,7.62,7.62,0
host,acl,AsStrided_Tiling,23.22,4,5.805,2.59,11.65,11.999
host,acl,BitwiseAnd_Tiling,33.3,1,33.3,33.3,33.3,0
host,acl,Cast_Tiling,799.8,53,15.091,5.37,44.51,53.918
host,acl,ConcatD_Tiling,1597.49,183,8.729,4.67,42.55,26.349
host,acl,Cos_Tiling,34.86,2,17.43,12.24,22.62,26.936
host,acl,Equal_Tiling,470.35,35,13.439,7.59,100.66,265.242
host,acl,Fill_Tiling,148.3,6,24.717,5.13,62.33,416.022
host,acl,FlashAttentionScore_Tiling,6590.41,132,49.927,0.65,200.06,2510.169
host,acl,GatherV2_Tiling,114,2,57,45.47,68.53,132.941
host,acl,Less_Tiling,35.4,1,35.4,35.4,35.4,0
host,acl,LogicalNot_Tiling,10.08,1,10.08,10.08,10.08,0
host,acl,LogicalOr_Tiling,43.06,2,21.53,6.81,36.25,216.678
host,acl,MatMulV2_Tiling,26848.1,304,88.316,0.16,24453.15,1959350.942
host,acl,Mul_Tiling,911.65,101,9.026,5.24,53.29,55.774
host,acl,Neg_Tiling,238.25,28,8.509,5.77,24.6,17.641
host,acl,OnesLike_Tiling,19.87,1,19.87,19.87,19.87,0
host,acl,Pows_Tiling,54.02,12,4.502,0.42,13.03,18.058
host,acl,Range_Tiling,25.08,1,25.08,25.08,25.08,0
host,acl,ReduceAll_Tiling,1634.85,64,25.545,0.63,234.89,1310.742
host,acl,ReduceAny_Tiling,214.94,6,35.823,0.44,171.78,3793.14
host,acl,ReduceMax_Tiling,109.64,2,54.82,1.36,108.28,2857.972
host,acl,ReduceMean_Tiling,239.53,12,19.961,0.4,157.28,1764.738
host,acl,Rsqrt_Tiling,51.94,6,8.657,6.18,13.86,7.312
host,acl,Sin_Tiling,23.18,2,11.59,7.75,15.43,14.746
host,acl,Slice_Tiling,756.71,52,14.552,3.19,505.32,4725.767
host,acl,Sub_Tiling,52.25,2,26.125,15.42,36.83,114.597
host,acl,Swish_Tiling,558.05,37,15.082,11.11,37.93,18.672
host,acl,Transpose_Tiling,514.37,56,9.185,1.03,224.98,913.616
host,acl,Triu_Tiling,3.94,1,3.94,3.94,3.94,0
host,acl,aclmdlRICaptureGetInfo,12.26,5,2.452,0.42,10.2,15.012
host,acl,aclnnAdd,80604.27,7638,10.553,6.11,1678.28,739.888
host,acl,aclnnAddGetWorkspaceSize,3721.18,133,27.979,11.05,868.72,10080.098
host,acl,aclnnAdds,75759.82,7638,9.919,6.12,1685.01,371.912
host,acl,aclnnAddsGetWorkspaceSize,1434.41,7,204.916,11.46,1342.69,215759.402
host,acl,aclnnAll,5337.43,67,79.663,12.35,3368.35,164117.993
host,acl,aclnnAllGetWorkspaceSize,8474.53,32,264.829,50.59,6038.35,1076497.97
host,acl,aclnnAny,4020.44,85,47.299,11.66,2694.6,83463.201
host,acl,aclnnAnyGetWorkspaceSize,9833.49,3,3277.83,45.9,9731.86,20827267.725
host,acl,aclnnArange,1135.77,67,16.952,9.62,355.99,1745.729
host,acl,aclnnArangeGetWorkspaceSize,1282.7,1,1282.7,1282.7,1282.7,0
host,acl,aclnnArgMax,1769.26,67,26.407,14.23,641.47,5736.292
host,acl,aclnnArgMaxGetWorkspaceSize,1411.7,1,1411.7,1411.7,1411.7,0
host,acl,aclnnBitwiseAndTensor,2877.93,67,42.954,12.07,1835.71,48703.69
host,acl,aclnnBitwiseAndTensorGetWorkspaceSize,1272.05,1,1272.05,1272.05,1272.05,0
host,acl,aclnnBitwiseNot,930.41,67,13.887,6.82,318.52,1408.644
host,acl,aclnnBitwiseNotGetWorkspaceSize,507.65,1,507.65,507.65,507.65,0
host,acl,aclnnBitwiseOrTensor,3039.32,134,22.681,7.28,1671.64,20449.605
host,acl,aclnnBitwiseOrTensorGetWorkspaceSize,1135.58,2,567.79,11.09,1124.49,309914.89
host,acl,aclnnCast,141265.59,15343,9.207,5.52,452.94,30.767
host,acl,aclnnCastGetWorkspaceSize,697.41,18,38.745,9.19,173.87,3185.064
host,acl,aclnnCat,109283.59,7772,14.061,6.16,1275.15,334.098
host,acl,aclnnCatGetWorkspaceSize,25594.95,352,72.713,10.31,19058.19,1027385.335
host,acl,aclnnCos,1059.56,67,15.814,7.93,376.17,1996.07
host,acl,aclnnCosGetWorkspaceSize,481.69,2,240.845,16.82,464.87,50187.201
host,acl,aclnnCumsum,778.88,6,129.813,38.76,555.51,36314.771
host,acl,aclnnCumsumGetWorkspaceSize,9830.19,6,1638.365,17.9,9734.03,13107958.899
host,acl,aclnnEmbedding,4255.86,67,63.52,10.33,3344.72,163285.725
host,acl,aclnnEmbeddingGetWorkspaceSize,7845.34,2,3922.67,20.25,7825.09,15228881.856
host,acl,aclnnEqScalar,972.64,73,13.324,7.21,189.26,494.122
host,acl,aclnnEqScalarGetWorkspaceSize,38.34,2,19.17,17.56,20.78,2.592
host,acl,aclnnEqTensor,3471.99,73,47.562,8.92,1508.65,29990.176
host,acl,aclnnEqTensorGetWorkspaceSize,2502.63,33,75.837,14.89,1928.58,107272.251
host,acl,aclnnFlashAttentionScore,83366.67,1876,44.439,11.53,35291.88,663968.728
host,acl,aclnnFlashAttentionScoreGetWorkspaceSize,13251.34,66,200.778,124.49,4320.08,261192.645
host,acl,aclnnInplaceCopy,10069.82,509,19.784,8.72,447.84,516.149
host,acl,aclnnInplaceCopyGetWorkspaceSize,7078.73,263,26.915,7.52,3729.51,52358.255
host,acl,aclnnInplaceFillScalar,6519.74,277,23.537,6.54,2214.97,24057.279
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,85713.37,6,14285.562,12.55,84542.23,987360405.987
host,acl,aclnnInplaceMaskedFillScalar,195.89,6,32.648,24.75,69.85,276.902
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,214.1,6,35.683,13.75,144.64,2374.334
host,acl,aclnnInplaceOne,2186.91,174,12.568,6.62,339.25,628.198
host,acl,aclnnInplaceOneGetWorkspaceSize,780.02,7,111.431,11.88,665.19,51297.618
host,acl,aclnnLtScalar,1678.81,6,279.802,15.57,1591.04,343877.681
host,acl,aclnnLtScalarGetWorkspaceSize,1712.51,1,1712.51,1712.51,1712.51,0
host,acl,aclnnMatmul,141889.74,13266,10.696,6.11,5674.83,2740.709
host,acl,aclnnMatmulGetWorkspaceSize,43875.4,154,284.905,27.44,34891.83,7842587.046
host,acl,aclnnMax,3042.44,67,45.41,9.08,2240.26,72997.91
host,acl,aclnnMaxGetWorkspaceSize,7743.14,1,7743.14,7743.14,7743.14,0
host,acl,aclnnMean,98643.71,7571,13.029,8.47,4297.02,2429.725
host,acl,aclnnMeanGetWorkspaceSize,10614.19,6,1769.032,29.78,10432.87,15012435.813
host,acl,aclnnMul,243887.76,24656,9.892,5.83,1580.61,229.736
host,acl,aclnnMulGetWorkspaceSize,3054.37,95,32.151,10.05,852.35,13699.221
host,acl,aclnnMuls,1423.98,134,10.627,6.81,62.56,47.384
host,acl,aclnnMulsGetWorkspaceSize,66.98,4,16.745,13.74,20.44,7.791
host,acl,aclnnNeg,82065.38,3752,21.872,10.67,20680.51,113932.759
host,acl,aclnnNegGetWorkspaceSize,18384.36,28,656.584,15.16,16174.11,9007023.017
host,acl,aclnnPowTensorScalar,70012.23,7571,9.247,5.71,224.47,10.136
host,acl,aclnnPowTensorScalarGetWorkspaceSize,815.18,6,135.863,20.3,678.53,58911.908
host,acl,aclnnRsqrt,67936.71,7571,8.973,5.49,325.21,18.665
host,acl,aclnnRsqrtGetWorkspaceSize,539.11,6,89.852,8.15,485.46,31302.924
host,acl,aclnnRsubs,722.28,67,10.78,7.48,73.58,63.599
host,acl,aclnnRsubsGetWorkspaceSize,19.55,1,19.55,19.55,19.55,0
host,acl,aclnnSilu,19970.85,1876,10.645,6.56,631.36,228.838
host,acl,aclnnSiluGetWorkspaceSize,937.02,37,25.325,9.24,573.41,8347.272
host,acl,aclnnSin,996.76,67,14.877,7.1,359.99,1824.999
host,acl,aclnnSinGetWorkspaceSize,580.42,2,290.21,11.57,568.85,77640.25
host,acl,aclnnSubs,1959.26,6,326.543,11.38,1891.98,490121.155
host,acl,aclnnSubsGetWorkspaceSize,1968.97,1,1968.97,1968.97,1968.97,0
host,acl,aclnnTriu,1868.94,168,11.125,6.48,237.26,310.955
host,acl,aclnnTriuGetWorkspaceSize,966.79,1,966.79,966.79,966.79,0
host,acl,aclrtBinaryLoadFromData,34507.15,44,784.253,17.47,16159.94,6125393.541
host,acl,aclrtBinaryLoadFromFile,9152.51,1,9152.51,9152.51,9152.51,0
host,acl,aclrtCreateEventExWithFlag,8425.82,1888,4.463,1.77,15.51,0.935
host,acl,aclrtCreateStreamWithConfig,1974.04,2,987.02,764.37,1209.67,49573.023
host,acl,aclrtCtxGetSysParamOpt,660.14,799,0.826,0.42,6.18,0.298
host,acl,aclrtCtxSetSysParamOpt,19.94,1,19.94,19.94,19.94,0
host,acl,aclrtDestroyEvent,1328.49,1888,0.704,0.49,4.58,0.048
host,acl,aclrtDestroyStreamForce,1685.72,1,1685.72,1685.72,1685.72,0
host,acl,aclrtFree,22066.71,62,355.915,1.38,3372.24,757958.667
host,acl,aclrtGetCurrentContext,2.06,1,2.06,2.06,2.06,0
host,acl,aclrtGetHardwareSyncAddr,5808.23,9666,0.601,0.41,13.12,0.096
host,acl,aclrtGetResInCurrentThread,1445.41,2574,0.562,0.26,2.36,0.132
host,acl,aclrtGetStreamAttribute,41210.8,108851,0.379,0.32,14.75,0.01
host,acl,aclrtLaunchKernelWithHostArgs,581231.15,116462,4.991,2.08,253.61,3.433
host,acl,aclrtMemcpy,144353.82,479,301.365,13.05,44013.83,4073557.663
host,acl,aclrtMemcpyAsync,2720.26,375,7.254,3.09,21.33,4.285
host,acl,aclrtRecordEvent,17977.47,1888,9.522,5.13,40.2,6
host,acl,aclrtResetDevice,4.11,1,4.11,4.11,4.11,0
host,acl,aclrtSetDevice,111.69,1,111.69,111.69,111.69,0
host,acl,aclrtSetOpExecuteTimeOut,1334.33,1,1334.33,1334.33,1334.33,0
host,acl,aclrtSetStreamFailureMode,7.12,2,3.56,2.41,4.71,1.322
host,acl,aclrtStreamWaitEvent,11909.04,1876,6.348,4.06,28.77,4.662
host,acl,aclrtSynchronizeDeviceWithTimeout,482.56,15,32.171,4.87,81.8,718.574
host,acl,aclrtSynchronizeEvent,16.7,12,1.392,0.55,2.83,0.562
host,acl,aclrtSynchronizeStream,1117.57,333,3.356,1.44,87.51,47.024
host,acl,aclrtSynchronizeStreamWithTimeout,1599.53,146,10.956,4.02,14.87,3.059
host,node,launch,716927.01,116462,6.156,2.73,3529.16,149.853
